Rank,Released Worldwide,Title,Worldwide Box Office,Domestic box officce,International Box Office
1,2009,Avatar,"$2,923,706,026","$785,221,649","$2,138,484,377"
2,2019,Avengers: Endgame,"$2,788,912,285","$858,373,000","$1,930,539,285"
3,2022,Avatar: The Way of Water,"$2,317,514,386","$684,075,767","$1,633,438,619"
4,1997,Titanic,"$2,223,048,786","$674,460,013","$1,548,588,773"
5,2015,Star Wars Ep. VII: The Force Awakens,"$2,064,615,817","$936,662,225","$1,127,953,592"
6,2018,Avengers: Infinity War,"$2,048,359,754","$678,815,482","$1,369,544,272"
7,2021,Spider-Man: No Way Home,"$1,907,836,254","$814,115,070","$1,093,721,184"
8,2015,Jurassic World,"$1,669,963,641","$652,306,625","$1,017,657,016"
9,2019,The Lion King,"$1,646,106,779","$543,638,043","$1,102,468,736"
10,2012,The Avengers,"$1,515,100,211","$623,357,910","$891,742,301"
11,2015,Furious 7,"$1,511,986,364","$353,007,020","$1,158,979,344"
12,2022,Top Gun: Maverick,"$1,467,987,219","$718,732,821","$749,254,398"
13,2019,Frozen II,"$1,451,653,316","$477,373,578","$974,279,738"
14,2023,Barbie,"$1,433,432,829","$636,238,421","$797,194,408"
15,2015,Avengers: Age of Ultron,"$1,395,316,979","$459,005,868","$936,311,111"
16,2023,The Super Mario Bros. Movie,"$1,361,678,803","$574,934,330","$786,744,473"
17,2018,Black Panther,"$1,336,494,320","$700,059,566","$636,434,754"
18,2017,Star Wars Ep. VIII: The Last Jedi,"$1,331,635,141","$620,181,382","$711,453,759"
19,2011,Harry Potter and the Deathly Hallows:…,"$1,312,443,850","$381,193,157","$931,250,693"
20,2018,Jurassic World: Fallen Kingdom,"$1,308,323,302","$417,719,760","$890,603,542"
21,2013,Frozen,"$1,274,382,528","$400,953,009","$873,429,519"
22,2017,Beauty and the Beast,"$1,268,697,483","$504,014,165","$764,683,318"
23,2018,Incredibles 2,"$1,242,805,359","$608,581,744","$634,223,615"
24,2017,The Fate of the Furious,"$1,235,534,014","$225,764,765","$1,009,769,249"
25,2013,Iron Man 3,"$1,215,392,272","$408,992,272","$806,400,000"
26,2015,Minions,"$1,157,271,759","$336,045,770","$821,225,989"
27,2016,Captain America: Civil War,"$1,151,899,586","$408,084,349","$743,815,237"
28,2019,Spider-Man: Far From Home,"$1,132,107,522","$390,532,085","$741,575,437"
29,2018,Aquaman,"$1,131,849,702","$335,061,807","$796,787,895"
30,2019,Captain Marvel,"$1,129,576,094","$426,829,839","$702,746,255"
31,2011,Transformers: Dark of the Moon,"$1,123,794,079","$352,390,543","$771,403,536"
32,2003,The Lord of the Rings: The Return of …,"$1,121,386,981","$379,021,990","$742,364,991"
33,2012,Skyfall,"$1,110,526,981","$304,360,277","$806,166,704"
34,2014,Transformers: Age of Extinction,"$1,104,054,072","$245,439,076","$858,614,996"
35,2012,The Dark Knight Rises,"$1,082,228,107","$448,139,099","$634,089,008"
36,2019,Toy Story 4,"$1,072,817,964","$434,038,008","$638,779,956"
37,2019,Star Wars: The Rise of Skywalker,"$1,072,767,997","$515,202,542","$557,565,455"
38,2010,Toy Story 3,"$1,068,879,522","$415,004,880","$653,874,642"
39,2006,Pirates of the Caribbean: Dead Man’s …,"$1,066,179,725","$423,315,812","$642,863,913"
40,2019,Joker,"$1,064,085,246","$335,451,311","$728,633,935"
41,1993,Jurassic Park,"$1,058,454,230","$415,404,543","$643,049,687"
42,2016,Rogue One: A Star Wars Story,"$1,055,083,596","$533,539,991","$521,543,605"
43,2019,Aladdin,"$1,046,587,513","$355,559,216","$691,028,297"
44,2011,Pirates of the Caribbean: On Stranger…,"$1,045,713,802","$241,071,802","$804,642,000"
45,2017,Despicable Me 3,"$1,032,809,657","$264,624,300","$768,185,357"
46,1999,Star Wars Ep. I: The Phantom Menace,"$1,027,044,677","$474,544,677","$552,500,000"
47,2010,Alice in Wonderland,"$1,025,491,110","$334,191,110","$691,300,000"
48,2016,Finding Dory,"$1,025,006,125","$486,295,561","$538,710,564"
49,2012,The Hobbit: An Unexpected Journey,"$1,014,938,545","$303,003,568","$711,934,977"
50,2022,Jurassic World: Dominion,"$1,004,004,592","$376,851,080","$627,153,512"
51,2016,Zootopia,"$1,002,462,578","$341,268,248","$661,194,330"
52,2008,The Dark Knight,"$999,240,028","$534,235,491","$465,004,537"
53,1994,The Lion King,"$986,193,783","$421,785,283","$564,408,500"
54,2013,Despicable Me 2,"$975,216,835","$368,065,385","$607,151,450"
55,2023,Oppenheimer,"$970,506,816","$329,862,540","$640,644,276"
56,2001,Harry Potter and the Sorcerer’s Stone,"$963,642,575","$317,871,467","$645,771,108"
57,2017,Jumanji: Welcome to the Jungle,"$961,632,807","$404,508,916","$557,123,891"
58,2007,Pirates of the Caribbean: At World’s …,"$960,996,492","$309,420,425","$651,576,067"
59,2013,The Hobbit: The Desolation of Smaug,"$959,358,436","$258,241,522","$701,116,914"
60,2016,The Jungle Book,"$953,535,821","$364,001,123","$589,534,698"
61,2022,Doctor Strange in the Multiverse of M…,"$952,224,986","$411,331,607","$540,893,379"
62,2010,Harry Potter and the Deathly Hallows:…,"$944,256,548","$296,837,581","$647,418,967"
63,2014,The Hobbit: The Battle of the Five Ar…,"$940,323,039","$255,119,788","$685,203,251"
64,2022,Minions: The Rise of Gru,"$939,301,597","$370,270,765","$569,030,832"
65,2007,Harry Potter and the Order of the Pho…,"$937,034,773","$292,137,260","$644,897,513"
66,2003,Finding Nemo,"$936,094,852","$380,529,370","$555,565,482"
67,2004,Shrek 2,"$935,454,538","$441,426,807","$494,027,731"
68,2009,Harry Potter and the Half-Blood Prince,"$926,069,091","$302,089,278","$623,979,813"
69,2002,The Lord of the Rings: The Two Towers,"$919,148,764","$342,548,984","$576,599,780"
70,2021,Chang jin hu,"$909,596,236","$333,214","$909,263,022"
71,2007,Spider-Man 3,"$894,860,230","$336,530,303","$558,329,927"
72,2001,The Lord of the Rings: The Fellowship…,"$891,210,039","$315,544,750","$575,665,289"
73,2009,Ice Age: Dawn of the Dinosaurs,"$886,686,817","$196,573,705","$690,113,112"
74,2016,The Secret Life of Pets,"$886,013,000","$369,094,830","$516,918,170"
75,2005,Harry Potter and the Goblet of Fire,"$885,222,986","$290,201,752","$595,021,234"
76,2012,Ice Age: Continental Drift,"$879,765,137","$161,321,843","$718,443,294"
77,2018,Bohemian Rhapsody,"$879,088,897","$216,303,339","$662,785,558"
78,2015,Spectre,"$879,077,344","$200,074,175","$679,003,169"
79,2017,Spider-Man: Homecoming,"$878,271,291","$334,201,140","$544,070,151"
80,2002,Harry Potter and the Chamber of Secrets,"$874,954,228","$262,233,381","$612,720,847"
81,2016,Batman v Superman: Dawn of Justice,"$872,395,091","$330,360,194","$542,034,897"
82,2017,Guardians of the Galaxy Vol 2,"$869,087,963","$389,813,101","$479,274,862"
83,2013,The Hunger Games: Catching Fire,"$864,808,014","$424,668,047","$440,139,967"
84,2018,Venom,"$856,081,053","$213,511,408","$642,569,645"
85,2022,Black Panther: Wakanda Forever,"$853,985,546","$453,829,060","$400,156,486"
86,2015,Inside Out,"$850,566,343","$356,461,711","$494,104,632"
87,2017,Thor: Ragnarok,"$850,482,778","$315,058,289","$535,424,489"
88,2005,Star Wars Ep. III: Revenge of the Sith,"$848,998,877","$380,270,577","$468,728,300"
89,2023,Guardians of the Galaxy Vol 3,"$845,468,744","$358,995,815","$486,472,929"
90,2021,"Ni Hao, Li Huan Ying","$841,674,419",,"$841,674,419"
91,2009,Transformers: Revenge of the Fallen,"$836,519,699","$402,111,870","$434,407,829"
92,2017,Zhan Lang 2,"$835,474,171","$2,721,100","$832,753,071"
93,2012,"The Twilight Saga: Breaking Dawn, Part 2","$829,724,737","$292,324,737","$537,400,000"
94,2010,Inception,"$825,793,570","$292,576,195","$533,217,375"
95,2002,Spider-Man,"$821,706,375","$403,706,375","$418,000,000"
96,2017,Wonder Woman,"$817,691,766","$412,563,408","$405,128,358"
97,1996,Independence Day,"$817,400,878","$306,169,255","$511,231,623"
98,2016,Fantastic Beasts and Where to Find Them,"$811,724,385","$234,037,575","$577,686,810"
99,2007,Shrek the Third,"$807,330,936","$322,719,944","$484,610,992"
100,1982,E.T. the Extra-Terrestrial,"$797,307,407","$439,454,989","$357,852,418"
101,2017,Coco,"$796,514,370","$210,460,015","$586,054,355"
102,2019,Jumanji: The Next Level,"$795,356,912","$316,831,246","$478,525,666"
103,2017,Pirates of the Caribbean: Dead Men Te…,"$794,861,794","$172,558,876","$622,302,918"
104,2004,Spider-Man 2,"$794,697,557","$373,524,485","$421,173,072"
105,2013,Fast and Furious 6,"$789,300,444","$238,679,850","$550,620,594"
106,2008,Indiana Jones and the Kingdom of the …,"$786,635,413","$317,101,119","$469,534,294"
107,2018,Mission: Impossible—Fallout,"$786,626,183","$220,159,104","$566,467,079"
108,2018,Deadpool 2,"$786,362,370","$324,591,735","$461,770,635"
109,2004,Harry Potter and the Prisoner of Azkaban,"$783,221,274","$249,757,726","$533,463,548"
110,2016,Deadpool,"$781,947,691","$363,070,709","$418,876,982"
111,1977,Star Wars Ep. IV: A New Hope,"$775,398,007","$460,998,007","$314,400,000"
112,2014,Guardians of the Galaxy,"$770,882,395","$333,714,112","$437,168,283"
113,2006,The Da Vinci Code,"$767,820,459","$217,536,138","$550,284,321"
114,2014,The Hunger Games: Mockingjay - Part 1,"$766,575,131","$337,135,885","$429,439,246"
115,2022,The Batman,"$765,950,479","$369,345,583","$396,604,896"
116,2022,Thor: Love and Thunder,"$760,928,081","$343,256,830","$417,671,251"
117,2019,Fast & Furious Presents: Hobbs & Shaw,"$760,732,926","$173,956,935","$586,775,991"
118,2021,No Time to Die,"$758,929,771","$160,891,007","$598,038,764"
119,2014,Maleficent,"$758,536,735","$241,407,328","$517,129,407"
120,2012,The Amazing Spider-Man,"$757,890,267","$262,030,663","$495,859,604"
121,2009,2012,"$757,677,748","$166,112,167","$591,565,581"
122,2010,Shrek Forever After,"$756,244,673","$238,736,787","$517,507,886"
123,2014,X-Men: Days of Future Past,"$747,862,775","$233,921,534","$513,941,241"
124,2012,Madagascar 3: Europe's Most Wanted,"$746,921,271","$216,391,482","$530,529,789"
125,2016,Suicide Squad,"$745,744,980","$325,100,054","$420,644,926"
126,2013,Monsters University,"$743,455,810","$268,488,329","$474,967,481"
127,2019,Ne Zha Zhi Mo Tong Jiang Shi,"$742,718,496","$3,695,533","$739,022,963"
128,2003,The Matrix Reloaded,"$738,576,929","$281,553,689","$457,023,240"
129,2009,Up,"$731,463,377","$293,004,164","$438,459,213"
130,2005,"The Chronicles of Narnia: The Lion, t…","$720,539,572","$291,710,957","$428,828,615"
131,2021,F9: The Fast Saga,"$719,360,510","$173,005,945","$546,354,565"
132,2023,Fast X,"$714,566,116","$146,126,015","$568,440,101"
133,2014,Captain America: The Winter Soldier,"$714,401,889","$259,746,958","$454,654,931"
134,2014,Dawn of the Planet of the Apes,"$710,644,566","$208,545,589","$502,098,977"
135,2014,The Amazing Spider-Man 2,"$708,996,336","$202,853,933","$506,142,403"
136,2007,Transformers,"$708,272,592","$319,246,193","$389,026,399"
137,2010,The Twilight Saga: Eclipse,"$706,102,828","$300,531,751","$405,571,077"
138,2019,The Wandering Earth (流浪地球),"$701,801,455","$5,875,487","$695,925,968"
139,2017,It,"$701,012,746","$328,828,874","$372,183,872"
140,2011,Mission: Impossible—Ghost Protocol,"$694,713,230","$209,397,903","$485,315,327"
141,2015,Mission: Impossible—Rogue Nation,"$688,858,992","$195,042,377","$493,816,615"
142,2009,The Twilight Saga: New Moon,"$687,557,727","$296,623,634","$390,934,093"
143,2016,Moana,"$687,228,908","$248,757,044","$438,471,864"
144,2013,Gravity,"$684,657,731","$274,092,705","$410,565,026"
145,2011,"The Twilight Saga: Breaking Dawn, Part 1","$684,436,752","$281,287,133","$403,149,619"
146,2023,Spider-Man: Across the Spider-Verse,"$681,545,031","$381,593,754","$299,951,277"
147,1994,Forrest Gump,"$679,835,137","$330,151,138","$349,683,999"
148,2012,The Hunger Games,"$677,923,379","$408,010,692","$269,912,687"
149,2016,Doctor Strange,"$676,343,174","$232,641,920","$443,701,254"
150,1999,The Sixth Sense,"$672,806,292","$293,506,292","$379,300,000"
151,2013,Man of Steel,"$667,999,518","$291,045,518","$376,954,000"
152,2024,Dune: Part Two,"$666,513,734","$266,413,734","$400,100,000"
153,2011,Kung Fu Panda 2,"$664,837,547","$165,249,063","$499,588,484"
154,2002,Star Wars Ep. II: Attack of the Clones,"$656,695,615","$310,676,740","$346,018,875"
155,2017,Justice League,"$655,945,209","$229,024,295","$426,920,914"
156,2003,Pirates of the Caribbean: The Curse o…,"$654,310,819","$305,410,819","$348,900,000"
157,2012,Men in Black 3,"$654,213,485","$179,020,854","$475,192,631"
158,2015,The Martian,"$653,609,107","$228,433,663","$425,175,444"
159,2006,Ice Age: The Meltdown,"$651,899,282","$195,330,621","$456,568,661"
160,2018,Fantastic Beasts: The Crimes of Grind…,"$648,455,339","$159,555,901","$488,899,438"
161,2014,Big Hero 6,"$647,263,005","$222,527,828","$424,735,177"
162,2014,Interstellar,"$647,051,282","$188,017,894","$459,033,388"
163,2015,The Hunger Games: Mockingjay - Part 2,"$646,219,954","$281,723,902","$364,496,052"
164,2013,Thor: The Dark World,"$644,602,516","$206,362,140","$438,240,376"
165,2023,Mǎn Jiāng Hóng (满江红),"$634,631,282",,"$634,631,282"
166,2008,Kung Fu Panda,"$631,910,531","$215,434,591","$416,475,940"
167,2004,The Incredibles,"$631,441,092","$261,441,092","$370,000,000"
168,2016,Sing,"$631,064,182","$270,329,045","$360,735,137"
169,2023,Wonka,"$630,901,535","$218,402,312","$412,499,223"
170,2021,Tang Ren Jie Tan An 3,"$630,313,300",,"$630,313,300"
171,2011,Fast Five,"$629,975,898","$210,031,325","$419,944,573"
172,2007,Ratatouille,"$626,549,695","$206,445,654","$420,104,041"
173,2008,Hancock,"$624,234,272","$227,946,274","$396,287,998"
174,2018,Ant-Man and the Wasp,"$623,144,660","$216,648,740","$406,495,920"
175,2004,The Passion of the Christ,"$622,313,635","$370,782,930","$251,530,705"
176,2010,Iron Man 2,"$621,156,389","$312,433,331","$308,723,058"
177,2012,Life of Pi,"$619,310,368","$124,987,022","$494,323,346"
178,1997,The Lost World: Jurassic Park,"$618,638,999","$229,086,679","$389,552,320"
179,2014,How to Train Your Dragon 2,"$614,586,270","$177,002,924","$437,583,346"
180,2017,Logan,"$614,202,315","$226,277,068","$387,925,247"
181,2005,War of the Worlds,"$606,836,535","$234,280,354","$372,556,181"
182,2023,The Wandering Earth 2 (流浪地球2),"$604,460,538","$5,023,132","$599,437,406"
183,2022,Chang Jin Hu Zhi Shui Men Qiao (长津湖之水…,"$602,986,104",,"$602,986,104"
184,2017,Transformers: The Last Knight,"$602,893,340","$130,168,683","$472,724,657"
185,2008,Madagascar: Escape 2 Africa,"$599,680,774","$180,174,880","$419,505,894"
186,2006,Casino Royale,"$594,420,216","$167,365,000","$427,055,216"
187,2008,Quantum of Solace,"$591,692,078","$169,368,427","$422,323,651"
188,1997,Men in Black,"$587,790,539","$250,690,539","$337,100,000"
189,2011,The Hangover Part II,"$586,764,305","$254,464,305","$332,300,000"
190,2008,Mamma Mia!,"$586,265,197","$144,540,088","$441,725,109"
191,2007,I am Legend,"$585,532,684","$256,393,010","$329,139,674"
192,2008,Iron Man,"$585,171,547","$318,604,126","$266,567,421"
193,2010,Tangled,"$582,440,151","$200,821,936","$381,618,215"
194,2006,Night at the Museum,"$579,446,407","$250,863,268","$328,583,139"
195,2018,Ready Player One,"$579,055,653","$137,690,172","$441,365,481"
196,2013,The Croods,"$573,068,425","$187,168,425","$385,900,000"
197,2015,Fifty Shades of Grey,"$570,794,950","$166,167,230","$404,627,720"
198,2023,The Little Mermaid,"$568,345,048","$298,172,056","$270,172,992"
199,2023,Mission: Impossible Dead Reckoning Pa…,"$566,644,143","$172,640,980","$394,003,163"
200,2011,The Smurfs,"$563,749,323","$142,614,158","$421,135,165"
201,2017,Kong: Skull Island,"$561,072,059","$168,052,812","$393,019,247"
202,2001,"Monsters, Inc.","$560,483,719","$290,149,425","$270,334,294"
203,2011,Cars 2,"$560,155,383","$191,450,875","$368,704,508"
204,2005,Madagascar,"$556,559,566","$193,595,521","$362,964,045"
205,2012,Ted,"$556,016,627","$218,665,740","$337,350,887"
206,2004,The Day After Tomorrow,"$555,840,117","$186,740,799","$369,099,318"
207,2011,Puss in Boots,"$554,987,477","$149,260,504","$405,726,973"
208,2012,Brave,"$554,606,532","$237,282,182","$317,324,350"
209,1998,Armageddon,"$554,600,000","$201,578,182","$353,021,818"
210,2005,King Kong,"$550,517,357","$218,080,025","$332,437,332"
211,2000,Mission: Impossible 2,"$549,588,516","$215,409,889","$334,178,627"
212,1980,Star Wars Ep. V: The Empire Strikes Back,"$549,001,086","$291,738,960","$257,262,126"
213,2014,American Sniper,"$547,326,372","$350,126,372","$197,200,000"
214,2010,Despicable Me,"$544,707,293","$252,756,705","$291,950,588"
215,2018,Tang Ren Jie Tan An 2,"$544,068,574","$1,983,984","$542,084,590"
216,2018,Hong Hai Xing Dong,"$543,391,535","$1,543,547","$541,847,988"
217,2016,X-Men: Apocalypse,"$542,537,546","$155,442,489","$387,095,057"
218,2015,Cinderella,"$542,351,353","$201,151,353","$341,200,000"
219,2023,No More Bets (孤注一掷),"$536,213,777",,"$536,213,777"
220,2011,Sherlock Holmes: A Game of Shadows,"$535,663,443","$186,848,418","$348,815,025"
221,2015,The Revenant,"$532,938,302","$183,637,894","$349,300,408"
222,2008,WALL-E,"$532,508,025","$223,808,164","$308,699,861"
223,2013,World War Z,"$531,861,650","$202,706,711","$329,154,939"
224,2018,Ralph Breaks The Internet,"$529,290,830","$201,091,711","$328,199,119"
225,2014,Godzilla,"$529,076,069","$200,676,069","$328,400,000"
226,2018,Hotel Transylvania 3: Summer Vacation,"$528,500,000","$167,500,092","$360,999,908"
227,2017,The Boss Baby,"$527,909,949","$175,003,033","$352,906,916"
228,2018,The Meg,"$527,267,828","$145,443,742","$381,824,086"
229,2007,The Simpsons Movie,"$527,071,022","$183,135,014","$343,936,008"
230,2016,Mei Ren Yu,"$525,018,479","$3,229,457","$521,789,022"
231,2019,How to Train Your Dragon: The Hidden …,"$521,595,422","$160,799,505","$360,795,917"
232,2015,Ant-Man,"$518,858,449","$180,202,163","$338,656,286"
233,1990,Ghost,"$517,599,988","$217,631,306","$299,968,682"
234,2004,Meet the Fockers,"$516,567,575","$279,167,575","$237,400,000"
235,1991,Terminator 2: Judgment Day,"$515,361,524","$203,464,105","$311,897,419"
236,2018,Dr. Seuss’ The Grinch,"$514,873,747","$272,699,130","$242,174,617"
237,2017,Dunkirk,"$512,390,011","$190,068,280","$322,321,731"
238,1999,Toy Story 2,"$511,358,276","$245,852,179","$265,506,097"
239,2020,Demon Slayer: Kimetsu no Yaiba—The Mo…,"$507,119,058","$49,888,502","$457,230,556"
240,2016,Kung Fu Panda 3,"$506,124,167","$143,528,619","$362,595,548"
241,1992,Aladdin,"$504,050,219","$217,350,219","$286,700,000"
242,2021,Venom: Let There be Carnage,"$501,546,922","$213,550,366","$287,996,556"
243,2009,Sherlock Holmes,"$498,438,212","$209,028,679","$289,409,533"
244,2012,Wreck-It Ralph,"$496,511,521","$189,412,677","$307,098,844"
245,1996,Twister,"$495,700,000","$241,688,385","$254,011,615"
246,2010,How to Train Your Dragon,"$494,870,992","$217,581,232","$277,289,760"
247,2010,Clash of the Titans,"$493,214,888","$163,214,888","$330,000,000"
248,2014,Rio 2,"$492,846,291","$131,538,435","$361,307,856"
249,2001,Shrek,"$492,186,434","$268,028,651","$224,157,783"
250,2023,Xiāo Shī De Tā (消失的她),"$492,029,390","$820,000","$491,209,390"
251,2009,Angels & Demons,"$490,875,846","$133,375,846","$357,500,000"
252,2013,Oz the Great and Powerful,"$490,359,051","$234,770,996","$255,588,055"
253,2017,War for the Planet of the Apes,"$489,592,267","$146,880,162","$342,712,105"
254,2019,Maleficent: Mistress of Evil,"$489,181,357","$113,929,605","$375,251,752"
255,2011,Rio,"$487,517,241","$143,619,809","$343,897,432"
256,2005,Mr. and Mrs. Smith,"$486,124,090","$186,336,279","$299,787,811"
257,2022,Puss in Boots: The Last Wish,"$485,261,639","$186,090,535","$299,171,104"
258,2023,Elemental,"$485,044,319","$154,426,697","$330,617,622"
259,1998,Saving Private Ryan,"$485,035,085","$216,335,085","$268,700,000"
260,2014,Teenage Mutant Ninja Turtles,"$485,004,754","$191,204,754","$293,800,000"
261,2012,Les Intouchables,"$484,630,908","$13,182,281","$471,448,627"
262,2003,Bruce Almighty,"$484,468,608","$242,704,995","$241,763,613"
263,1975,Jaws,"$483,655,893","$272,965,550","$210,690,343"
264,2004,Troy,"$483,152,040","$133,298,577","$349,853,463"
265,1983,Star Wars Ep. VI: Return of the Jedi,"$482,365,284","$316,465,003","$165,900,281"
266,2024,YOLO (热辣滚烫),"$480,557,787","$1,926,474","$478,631,313"
267,1990,Home Alone,"$476,680,641","$285,761,243","$190,919,398"
268,2005,Charlie and the Chocolate Factory,"$475,825,484","$206,459,076","$269,366,408"
269,2015,Hotel Transylvania 2,"$474,800,000","$169,700,110","$305,099,890"
270,2019,Wo he wo de zu guo,"$474,488,019","$2,323,409","$472,164,610"
271,1989,Indiana Jones and the Last Crusade,"$474,171,806","$197,171,806","$277,000,000"
272,2020,Ba bai,"$472,648,086",,"$472,648,086"
273,2011,Rise of the Planet of the Apes,"$470,986,200","$176,760,185","$294,226,015"
274,2024,Pegasus 2 (飞驰人生2),"$469,580,995",,"$469,580,995"
275,2014,The Lego Movie,"$467,576,428","$257,784,718","$209,791,710"
276,2019,It: Chapter Two,"$467,561,586","$211,593,228","$255,968,358"
277,2013,Star Trek Into Darkness,"$467,381,584","$228,778,661","$238,602,923"
278,1999,The Matrix,"$465,974,198","$173,993,387","$291,980,811"
279,2009,The Hangover,"$465,487,583","$277,322,503","$188,165,080"
280,2018,Bumblebee,"$465,195,589","$127,195,589","$338,000,000"
281,2023,Ant-Man and the Wasp: Quantumania,"$463,635,303","$214,506,909","$249,128,394"
282,2006,Cars,"$461,630,558","$244,082,982","$217,547,576"
283,2022,Du Xing Yue Qiu (独行月球),"$460,303,199",,"$460,303,199"
284,2006,X-Men: The Last Stand,"$459,260,946","$234,362,462","$224,898,484"
285,1996,Mission: Impossible,"$457,697,994","$180,981,886","$276,716,108"
286,2014,Lucy,"$457,507,776","$126,573,960","$330,933,816"
287,2007,National Treasure: Book of Secrets,"$457,325,804","$219,961,501","$237,364,303"
288,2003,The Last Samurai,"$456,810,575","$111,110,575","$345,700,000"
289,2015,San Andreas,"$456,258,539","$155,190,832","$301,067,707"
290,2007,300,"$454,161,935","$210,614,939","$243,546,996"
291,2000,Gladiator,"$451,683,599","$187,683,805","$263,999,794"
292,2018,Wo Bi Shi Yao Shen,"$451,183,392","$6,752","$451,176,640"
293,2001,Ocean's Eleven,"$450,728,529","$183,417,150","$267,311,379"
294,2021,Godzilla vs. Kong,"$450,063,074","$100,916,094","$349,146,980"
295,2012,Django Unchained,"$449,841,566","$162,805,434","$287,036,132"
296,2011,Thor,"$449,326,618","$181,030,624","$268,295,994"
297,2001,Pearl Harbor,"$449,239,853","$198,539,855","$250,699,998"
298,1999,Tarzan,"$448,191,819","$171,091,819","$277,100,000"
299,2019,The Secret Life of Pets 2,"$446,449,741","$159,214,420","$287,235,321"
300,2007,The Bourne Ultimatum,"$444,043,396","$227,471,070","$216,572,326"
301,2009,Alvin and the Chipmunks: The Squeakquel,"$443,483,213","$219,614,612","$223,868,601"
302,2002,Men in Black 2,"$441,767,803","$190,418,803","$251,349,000"
303,1993,Mrs. Doubtfire,"$441,286,003","$219,195,051","$222,090,952"
304,2016,Warcraft,"$438,899,824","$47,365,290","$391,534,534"
305,1991,Beauty and the Beast,"$438,656,843","$206,333,165","$232,323,678"
306,2023,Transformers: Rise of the Beasts,"$437,944,638","$157,341,749","$280,602,889"
307,2012,Les Misérables,"$435,292,452","$149,260,140","$286,032,312"
308,2001,The Mummy Returns,"$435,040,395","$202,007,640","$233,032,755"
309,2016,La La Land,"$433,850,071","$151,101,803","$282,748,268"
310,2023,Aquaman and the Lost Kingdom,"$433,845,564","$124,481,226","$309,364,338"
311,2020,Wo He Wo De Jia Xiang,"$433,241,288",,"$433,241,288"
312,2019,Zhongguo jizhang,"$433,168,672","$706,572","$432,462,100"
313,2003,Terminator 3: Rise of the Machines,"$433,058,296","$150,358,296","$282,700,000"
314,1990,Pretty Woman,"$432,566,361","$178,406,268","$254,160,093"
315,2023,John Wick: Chapter 4,"$432,474,706","$187,131,806","$245,342,900"
316,2021,Shang-Chi and the Legend of the Ten R…,"$432,224,634","$224,543,292","$207,681,342"
317,2015,Terminator: Genisys,"$432,150,894","$89,760,956","$342,389,938"
318,2002,Die Another Day,"$431,942,139","$160,942,139","$271,000,000"
319,2018,A Star is Born,"$431,674,156","$215,288,866","$216,385,290"
320,2021,Dune,"$431,131,509","$109,987,830","$321,143,679"
321,2010,The King’s Speech,"$430,061,213","$138,797,449","$291,263,764"
322,2017,The Greatest Showman,"$429,054,204","$174,340,174","$254,714,030"
323,2019,Pokémon: Detective Pikachu,"$428,919,826","$144,105,346","$284,814,480"
324,1973,The Exorcist,"$428,824,083","$230,956,951","$197,867,132"
325,2018,Rampage,"$427,947,217","$101,028,233","$326,918,984"
326,2003,The Matrix Revolutions,"$427,300,260","$139,270,910","$288,029,350"
327,2000,Cast Away,"$427,230,516","$233,632,142","$193,598,374"
328,2020,Bad Boys For Life,"$424,471,663","$204,417,855","$220,053,808"
329,1990,Dances with Wolves,"$424,208,805","$184,208,842","$239,999,963"
330,2010,The Chronicles of Narnia: The Voyage …,"$418,186,950","$104,386,950","$313,800,000"
331,2008,The Chronicles of Narnia: Prince Caspian,"$417,341,288","$141,621,490","$275,719,798"
332,2024,Kung Fu Panda 4,"$417,039,269","$167,019,910","$250,019,359"
333,1999,The Mummy,"$416,559,305","$155,559,305","$261,000,000"
334,2013,The Wolverine,"$416,456,852","$132,556,852","$283,900,000"
335,2016,Jason Bourne,"$416,168,316","$162,192,920","$253,975,396"
336,2008,Sex and the City,"$415,247,258","$152,647,258","$262,600,000"
337,1988,Rain Man,"$412,800,000","$172,825,435","$239,974,565"
338,1989,Batman,"$411,348,924","$251,188,924","$160,160,000"
339,1992,The Bodyguard,"$411,006,740","$122,006,740","$289,000,000"
340,2013,Pacific Rim,"$411,002,906","$101,802,906","$309,200,000"
341,2017,The Mummy,"$409,953,905","$80,101,125","$329,852,780"
342,2017,Kingsman: The Golden Circle,"$408,803,696","$100,234,838","$308,568,858"
343,2002,Signs,"$408,250,578","$227,969,295","$180,281,283"
344,2003,X-Men 2,"$406,348,630","$214,949,694","$191,398,936"
345,2008,The Mummy: Tomb of the Dragon Emperor,"$405,760,225","$102,491,776","$303,268,449"
346,2022,Sonic the Hedgehog 2,"$405,154,426","$190,872,904","$214,281,522"
347,2015,Kingsman: The Secret Service,"$404,561,724","$128,261,724","$276,300,000"
348,2022,Fantastic Beasts: The Secrets of Dumb…,"$404,560,145","$95,850,844","$308,709,301"
349,2021,Sing 2,"$404,534,588","$162,790,990","$241,743,598"
350,2012,Prometheus,"$402,448,265","$126,477,084","$275,971,181"
351,2008,Twilight,"$402,278,564","$192,769,854","$209,508,710"
352,2009,Night at the Museum: Battle of the Sm…,"$402,231,063","$177,243,721","$224,987,342"
353,2016,Ice Age: Collision Course,"$402,156,682","$64,063,008","$338,093,674"
354,2019,Alita: Battle Angel,"$401,900,040","$85,838,210","$316,061,830"
355,2021,Eternals,"$401,731,759","$164,870,264","$236,861,495"
356,2012,Snow White and the Huntsman,"$401,021,746","$155,136,755","$245,884,991"
