Rank,Released Worldwide,Title,Worldwide Box Office,Domestic box officce,International Box Office
"9,376",2015,She's Funny That Way,"$5,946,642","$111,993","$5,834,649"
"9,377",2008,Krazzy 4,"$5,945,182","$487,215","$5,457,967"
"9,378",2002,Slackers,"$5,942,218","$4,814,244","$1,127,974"
"9,379",2018,"Kyonen no fuyu, kimi to wakare","$5,941,231",,"$5,941,231"
"9,380",2018,Uchu no Ho: Reimei-hen,"$5,937,936",,"$5,937,936"
"9,381",2008,Mere Baap Pehle Aap,"$5,937,699","$113,576","$5,824,123"
"9,382",2004,Never Die Alone,"$5,936,477","$5,644,575","$291,902"
"9,383",2019,Yi Sheng You Ni,"$5,932,063",,"$5,932,063"
"9,384",1987,Evil Dead II,"$5,927,557","$5,923,044","$4,513"
"9,385",1997,Inventing the Abbotts,"$5,926,128","$5,926,128",
"9,386",2008,Adulthood,"$5,922,805",,"$5,922,805"
"9,387",2010,Fish Tank,"$5,922,292","$374,675","$5,547,617"
"9,388",2017,How Are You,"$5,921,481",,"$5,921,481"
"9,389",2017,Deok Gaai,"$5,919,976",,"$5,919,976"
"9,390",2004,The Touch,"$5,918,742",,"$5,918,742"
"9,391",2016,Wazir,"$5,917,869","$586,028","$5,331,841"
"9,392",2023,Coup De Chance,"$5,916,531",,"$5,916,531"
"9,393",2023,Ponniyin Selvan: Part II (பொன்னியின் …,"$5,912,895","$3,813,000","$2,099,895"
"9,394",2017,Yol Arkadaşım,"$5,910,170",,"$5,910,170"
"9,395",2021,Me contro te — Il mistero della scuol…,"$5,909,462",,"$5,909,462"
"9,396",2012,Barbara,"$5,908,826",,"$5,908,826"
"9,397",2018,Korô no chi,"$5,908,700",,"$5,908,700"
"9,398",1997,Gang Related,"$5,906,773","$5,906,773",
"9,399",1992,Folks!,"$5,906,300","$5,906,300",
"9,400",2017,Krym,"$5,904,389",,"$5,904,389"
"9,401",2015,Un moment d'égarement,"$5,902,504",,"$5,902,504"
"9,402",2015,Ask Sana Benzer,"$5,902,324",,"$5,902,324"
"9,403",1997,The Boxer,"$5,896,037","$5,896,037",
"9,404",2016,Oboreru naifu,"$5,895,838",,"$5,895,838"
"9,405",2016,Die Vampirschwestern 3,"$5,894,544",,"$5,894,544"
"9,406",2015,True Story,"$5,894,210","$4,719,695","$1,174,515"
"9,407",2013,20 Feet From Stardom,"$5,892,466","$4,946,250","$946,216"
"9,408",2018,Death of a Nation,"$5,885,881","$5,885,881",
"9,409",2020,Twiceborn,"$5,880,157","$11,527","$5,868,630"
"9,410",2021,Ma Ma Dik San Kei Siu Ji,"$5,876,318",,"$5,876,318"
"9,411",2007,Milano-Palermo: il ritorno,"$5,871,643",,"$5,871,643"
"9,412",1999,Light It Up,"$5,871,603","$5,871,603",
"9,413",2018,Un homme pressé,"$5,869,917",,"$5,869,917"
"9,414",2022,Kingmeikeo seonkeopanui yeou (킹메이커)…,"$5,869,455",,"$5,869,455"
"9,415",2018,Kidō Senshi Gandamu NT (Naratibu),"$5,866,131",,"$5,866,131"
